question,input_image_url,top1_option,top1_score_img,top1_score_txt,top1_name,top2_option,top2_score_img,top2_score_txt,top2_name,top3_option,top3_score_img,top3_score_txt,top3_name
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,0.65364,0.864898,علی دایی,محمد خادم,0.542027,0.817867,رسول خادم,محسن بیرانوند,0.527944,0.827794,علیرضا بیرانوند
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,0.589704,0.837438,آرین سلیمی,امیر یاوری,0.554233,0.806957,امیر معماری,آرین سلیمی,0.54044,0.806708,علی رحیمی کازرونی
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,0.699523,0.830735,امیر عابدزاده,امیر عابدزاده، پرسپولیس,0.567421,0.819411,احمدرضا عابدزاده,محمد محمدی، سایپا,0.559122,0.830939,محمدجواد محمدی
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علیپور، کاراته,0.607446,0.854937,رزیتا علی‌پور,الهه احمدی، تیراندازی,0.523908,0.856972,الهه احمدی,رزیتا علیپور، کاراته,0.519347,0.807476,حمیده عباسعلی
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی ، بسکتبال,0.836234,0.865947,حامد حدادی,نیما عالمیان ، شنا,0.546575,0.791568,وانه خچومیان,نیما عالمیان ، شنا,0.537011,0.81207,نیما عالمیان
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,0.725635,0.882427,بهروز مکوندی,بهروز مکوندی، مسجدسلیمان,0.465829,0.790257,بهروز وثوقی,جاسم امیری، تهران,0.451002,0.824724,جاسم امیری
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,0.646316,0.861916,زهره کودایی,بهاره قادریان پرسپولیس,0.625674,0.823799,سعید صادقی,زهره کودایی سپاهان,0.588092,0.816612,ساره جوانمردی
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,0.724311,0.875164,رضا یزدانی,رضا یزدانی,0.496019,0.853045,رضا یزدان‌دوست,حسین کریمی,0.448142,0.860326,حسین کریمی
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,0.759563,0.850401,رضا حقیقی,رضا حقیقی والیبال,0.569642,0.845846,رضا صفایی,ایرج سلیمانی فوتبال,0.561468,0.819584,ایمان شوریابی
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,0.557478,0.823315,فرشاد احمدزاده,ارسلان مطهری گرمسار,0.487538,0.800484,ایمان شوریابی,سینا عشوری اصفهان,0.465279,0.804723,سینا خادم‌پور
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان بالستیر گیلانگ,0.741829,0.848531,علیرضا منصوریان,علیرضا منصوریان پارس شتاتآیزن,0.741829,0.842274,علیرضا منصوریان,سجاد انوشیروانی النصر کشاورز,0.563235,0.826754,سجاد انوشیروانی
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بابل,0.456168,0.794355,امامعلی حبیبی,تهران,0.427889,0.789453,محمدقلی بیگ طرشتی تهرانی,بابل,0.416163,0.775835,محمد بلبلی
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری کشتی,0.671019,0.880487,آریا داوری,آریا داوری وزنه برداری,0.671019,0.851883,آریا داوری,آریا داوری وزنه برداری,0.513668,0.833149,علی والی
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور 29 سال,0.505105,0.800821,علی علیپور,علی کریمی 46 سال,0.496306,0.813869,علی کریمی,سعید شیرود قربانی 34 سال,0.49333,0.85761,سعید شیرود قربانی
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حسن اکرمی,0.577464,0.809502,علی رحیمی کازرونی,علی شفیعی,0.572729,0.869321,علی شفیعی,حسن اکرمی,0.513563,0.814887,حسن رحیمی
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح والیبال,0.687317,0.874725,الهام فلاح,الهام قنبروف فوتبال,0.640149,0.817598,شیوا مقانلو,الهام فلاح والیبال,0.599257,0.824977,الهام شیخی
کدام گزینه درباره ی این فرد صحیح است؟,https://tse1.mm.bing.net/th/id/OIP.El10jtpn4kDl1xtsd8MSFQHaHI?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,0.602561,0.871594,علی انصاریان,این فرد کریم انصاری فرد است و در اصفهان به دنیا آمده است.,0.47521,0.842683,محمدحسن انصاری‌فرد,این فرد کریم انصاری فرد است و در اصفهان به دنیا آمده است.,0.459597,0.884518,کریم انصاری‌فرد
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse2.mm.bing.net/th/id/OIP.uTkBFD_F0Uj8GWPZLaAyegHaER?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سردار آزمون گنبد کاووس,0.834646,0.871973,سردار آزمون,سردار آزمون شیراز,0.834646,0.849079,سردار آزمون,احسان علوانزاده خوزستان,0.5667,0.842475,احسان علوان‌زاده
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان فوتبال,0.791882,0.883105,رامین رضاییان,رامین رضاییان کشتی,0.791882,0.855088,رامین رضاییان,کاوه رضایی والیبال,0.597125,0.827189,کاوه رضایی
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,0.77911,0.855957,رحمان احمدی,عاقل حبیبیان,0.534902,0.842767,عاقل حبیبیان,قربان بردیف,0.50201,0.872753,قربان بردیف
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لیلا حاتمی مادر,0.68513,0.798844,لاله اسکندری,گوهر خیراندیش زخم کاری,0.68513,0.785919,لاله اسکندری,گوهر خیراندیش زخم کاری,0.682729,0.830021,گوهر خیراندیش
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سیامک انصاری روشن,0.661509,0.803436,سجاد انوشیروانی,سیامک انصاری روشن,0.643337,0.839545,سیامک انصاری,مهران مدیری سال خوش,0.634111,0.826209,مهران مدیری
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج شاعر,0.797653,0.872836,نیما یوشیج,نیما یوشیج بازیگر,0.797653,0.832953,نیما یوشیج,ابراهیم نبوی نویسنده,0.444695,0.814515,نادر ابراهیمی
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بازیگر جایزه امی,0.647289,0.806946,شهره آغداشلو,بازیگر سیمرغ بلورین,0.412989,0.839047,هنگامه قاضیانی,بازیگر سیمرغ بلورین,0.40373,0.840938,هوتن شکیبا
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,ادبیات نامزد جایزه نوبل ادبیات,0.610918,0.799134,سیمین بهبهانی,بازیگر سیمرغ بلورین,0.48848,0.839047,هنگامه قاضیانی,بازیگر جایزه امی,0.408971,0.806946,شهره آغداشلو
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست شبی که ماه کامل شد,0.742784,0.868198,الناز شاکردوست,مهناز افشار آتش بس,0.692161,0.841567,مهناز افشار,الهام حمیدی دو دوست,0.641922,0.79484,الهام حمیدی
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لیلا حاتمی رگ خواب,0.573915,0.795514,لاله اسکندری,الهام حمیدی دو دوست,0.541884,0.79484,الهام حمیدی,الناز شاکردوست شبی که ماه کامل شد,0.49695,0.868198,الناز شاکردوست
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی خواننده,0.743728,0.907692,مازیار فلاحی,مازیار فلاحی ورزشی,0.743728,0.8448,مازیار فلاحی,مازیار فلاحی خواننده,0.601669,0.812499,فرزاد فرزین
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,اکبر هاشمی رفسنجانی سیاسی,0.597829,0.813864,سید مصطفی هاشمی‌طبا,بهرام رادان بازیگر,0.492295,0.893151,بهرام رادان,علی دایی ورزشی,0.471639,0.885734,علی دایی
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,0.732707,0.817722,ژاله صامتی,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,0.661454,0.836856,لاله اسکندری,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,0.599666,0.854023,پریناز ایزدیار
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,0.748788,0.854023,پریناز ایزدیار,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,0.635293,0.831682,شبنم مقدمی,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,0.57135,0.836856,لاله اسکندری
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حسن روحانی رئیس جمهور,0.566749,0.813799,امید روحانی,حسن روحانی رئیس جمهور,0.488101,0.804633,سید ابراهیم نبوی,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,0.477309,0.799332,محمدرضا فروتن
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.,0.578835,0.853661,محسن یگانه,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,0.562416,0.826445,رضا یزدانی,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,0.466338,0.836856,لاله اسکندری
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار بازیگر,0.892516,0.902267,میترا حجار,زهرا رهنورد نویسنده,0.607362,0.825561,بهاره رهنما,زهرا رهنورد نویسنده,0.605556,0.811293,زهرا داوودنژاد
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرخزاد شاعر,0.805786,0.882754,فریدون فرّخزاد,فریدون فرخزاد شاعر,0.775233,0.887959,فریدون فرخزاد,فریدون فرخزاد شاعر,0.5087,0.856799,فروغ فرخزاد
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار آتش بس,0.777737,0.841567,مهناز افشار,الناز شاکردوست شبی که ماه کامل شد,0.655734,0.80071,نیلوفر لاری‌پور,لیلا اوتادی کاتیوشا,0.611116,0.796941,لیلا اوتادی
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان بازیگر,0.798546,0.893151,بهرام رادان,بهرام رادان بازیگر,0.695048,0.83095,بهرام افشاری,علی دایی ورزشی,0.507959,0.885734,علی دایی
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لونه زنبور,0.577756,0.798386,علی زند,زخم کاری,0.51024,0.784337,حمید جبلی,زخم کاری,0.496922,0.787238,الیاس هوریابند
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,در خانه اش,0.395783,0.78221,شیوا مقانلو,در ماشین,0.342647,0.797622,بهرام چوبین,در ماشین,0.322304,0.797642,زهرا اینچه‌درگاهی
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,(1386 - 1390),0.483018,0.780189,رسول نجفیان,(1386 - 1390),0.42284,0.775131,لاله اسکندری,(1386 - 1390),0.39963,0.775971,امیرعلی دانایی
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,دهمین رئیس فدراسیون فوتبال ایران,0.553565,0.813693,فهرست مربیان تیم ملی فوتبال ایران,معاون ارشد فروش و عملیات جهانی و مدیر ارشد کسب‌وکار ,0.531236,0.791507,وزیر ورزش و جوانان,معاون ارشد فروش و عملیات جهانی و مدیر ارشد کسب‌وکار ,0.523926,0.815081,امید کردستانی
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,0.665235,0.82846,نیکی کریمی,برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,0.647134,0.825073,مریلا زارعی,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است,0.647134,0.838559,مریلا زارعی
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,0.658669,0.85011,محمدرضا فروتن,در سال 1393 لوح تقدیر بهترین بازیگر را از جشن بازیگر دریافت کرد,0.403212,0.836943,شهرام حقیقت‌دوست,در سال 1393 لوح تقدیر بهترین بازیگر را از جشن بازیگر دریافت کرد,0.386228,0.831783,بانیپال شومون
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,در سریال‌هایی مانند «تا صبح» در سال 1385 نقش‌آفرینی کرده است,0.358318,0.831852,لاله اسکندری,در سریال‌هایی مانند «تا صبح» در سال 1385 نقش‌آفرینی کرده است,0.356236,0.832022,سیامک انصاری,در سریال‌هایی مانند «میکائیل» در سال 1394 نقش‌آفرینی کرده است,0.339684,0.831281,رسول نجفیان
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,0.87156,0.852714,مهرداد صدیقیان,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,0.542103,0.819482,رسول نجفیان,در فیلم‌هایی مانند «آواز گنجشک‌ها» در سال 1386، «بچه‌های آسمان» در سال 1375، نقش آفرینی کرده است,0.533554,0.827443,عباس غزالی
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,آلبوم‌هایی چون «زندگی زیر زمین» (1384)، «تاریکی» (1394),0.536073,0.814705,هادی پاکزاد,آلبوم هایی مانند «سرگذشت» (1377),0.511552,0.817246,رسول نجفیان,آلبوم هایی مانند «سرگذشت» (1377),0.493906,0.826229,فریدون آسرایی
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در 5 فروردین 1401 درگذشت,0.735878,0.81818,اسفندیار قره‌باغی,در 23 اسفند 1395 خورشیدی در تهران درگذشت,0.5814,0.815691,سهراب سپهری,در 5 فروردین 1401 درگذشت,0.543983,0.815358,خلیل عقاب
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,0.839748,0.944867,قیصر امین‌پور,فروغی بسطامی، شاعر دوره قاجاریان، در سال 1213 هجری قمری در کربلا زاده شد و در سال 1274 هجری درگذشت. او دیوان اشعار را سرود.,0.442658,0.957727,فروغی بسطامی,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,0.371336,0.826391,الهامی کرمانشاهی
این فرد چه آثاری خلق کرده است؟,https://tse4.mm.bing.net/th/id/OIP.jmSfNbyoI_UJgSgWdg7PJgHaFH?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,نمایشنامه‌هایی مانند «آرش» (1340)، «چهارصندوق» (1346) و «دیوان بلخ» (1372) خلق کرد,0.75706,0.812414,هرمز سیرتی,آهنگ «سرنوشت» در سال 1399 خلق کرده است,0.73553,0.827036,حبیب محبیان,او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد,0.581485,0.797764,سید ابراهیم نبوی
این شاعر چه آثاری دارد؟,https://th.bing.com/th/id/R.20d72fd44870ac1fa9c0b30e9337abf6?rik=7wp1%2f9JnY7%2bcQg&riu=http%3a%2f%2fbiographyha.com%2fwp-content%2fuploads%2f2014%2f04%2fManouchehr-ehterami-biographya-com-4.jpg&ehk=sFukI3v6%2ba8aXT5iHJ8Zop5sWh9RVByeXVX3xrRkBZg%3d&risl=&pid=ImgRaw&r=0, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,0.726126,0.86348,منوچهر احترامی,او آثاری چون نسیم دلگشا و بهار نارنج سرود,0.628238,0.8097,یدالله طارمی, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,0.455655,0.799864,سید ابراهیم نبوی
