question,image_url,top1_name,top2_name,top3_name,compare_top1,compare_top2,compare_top3,chosen_top,chosen_name,pred_answer,evidence,raw_answer_text,hit_at
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست,مهناز افشار,الهام حمیدی,بله,,,top1,الناز شاکردوست,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.,"{
  ""predicted_option"": ""الناز شاکردوست شبی که ماه کامل شد"",
  ""evidence"": ""الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.""
}",1
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,الهام حمیدی,الناز شاکردوست,بله,,,top1,لاله اسکندری,,لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «متولد ماه مهر» (1378)، «شراره» (1378)، «این زن حرف نمی‌زند» (1381) و ... نقش‌آفرینی کرده است.,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها دقیقا"",
  ""evidence"": ""لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «متولد ماه مهر» (1378)، «شراره» (1378)، «این زن حرف نمی‌زند» (1381) و ... نقش‌آفرینی کرده است.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی,مازیار فلاحی,فرزاد فرزین,بله,,,top1,مازیار فلاحی,مازیار فلاحی خواننده,مازیار فلاحی، متولد 26 مهر 1353 در تهران، خواننده، آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.,"{
  ""predicted_option"": ""مازیار فلاحی خواننده"",
  ""evidence"": ""مازیار فلاحی، متولد 26 مهر 1353 در تهران، خواننده، آهنگساز و ترانه‌سرا ایرانی است که از سال 1386 فعالیت خود را آغاز کرد.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,سید مصطفی هاشمی‌طبا,بهرام رادان,علی دایی,بله,,,top1,سید مصطفی هاشمی‌طبا,علی دایی ورزشی,سید مصطفی هاشمی‌طبا، شخصیت ورزشی و سیاسی با مدرک مهندسی نساجی از دانشگاه صنعتی امیرکبیر است.,"{
  ""predicted_option"": ""علی دایی ورزشی"",
  ""evidence"": ""سید مصطفی هاشمی‌طبا، شخصیت ورزشی و سیاسی با مدرک مهندسی نساجی از دانشگاه صنعتی امیرکبیر است.""
}",1
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,ژاله صامتی,لاله اسکندری,پریناز ایزدیار,بله,,,top1,ژاله صامتی,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,"{
  ""predicted_option"": ""او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت"",
  ""evidence"": ""او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.""
}",1
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,پریناز ایزدیار,شبنم مقدمی,لاله اسکندری,بله,,,top1,پریناز ایزدیار,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.,"{
  ""predicted_option"": ""در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد"",
  ""evidence"": ""ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.""
}",1
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امید روحانی,سید ابراهیم نبوی,محمدرضا فروتن,بله,,,top1,امید روحانی,,امید روحانی، متولد 6 سرطان 1340 در تهران، بازیگر و پزشک ایرانی است که از دهه 1370 فعالیت هنری خود را آغاز کرده است.,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها"",
  ""evidence"": ""امید روحانی، متولد 6 سرطان 1340 در تهران، بازیگر و پزشک ایرانی است که از دهه 1370 فعالیت هنری خود را آغاز کرده است.""
}",1
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,محسن یگانه,رضا یزدانی,لاله اسکندری,بله,,,top1,محسن یگانه,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.,"{
  ""predicted_option"": ""برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد"",
  ""evidence"": ""یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار,بهاره رهنما,زهرا داوودنژاد,بله,,,top1,میترا حجار,میترا حجار بازیگر,میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,"{
  ""predicted_option"": ""میترا حجار بازیگر"",
  ""evidence"": ""میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرّخزاد,فریدون فرخزاد,فروغ فرخزاد,بله,,,top1,فریدون فرّخزاد,فریدون فرخزاد شاعر,فریدون فرخزاد، متولد 23 مهر 1315 در تهران، خواننده و شاعر بود.,"{
  ""predicted_option"": ""فریدون فرخزاد شاعر"",
  ""evidence"": ""فریدون فرخزاد، متولد 23 مهر 1315 در تهران، خواننده و شاعر بود.""
}",1
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار,نیلوفر لاری‌پور,لیلا اوتادی,بله,,,top1,مهناز افشار,مهناز افشار آتش بس,مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.,"{
  ""predicted_option"": ""مهناز افشار آتش بس"",
  ""evidence"": ""مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.""
}",1
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان,بهرام افشاری,علی دایی,بله,,,top1,بهرام رادان,بهرام رادان بازیگر,بهرام رادان، متولد 8 ثور 1358 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,"{
  ""predicted_option"": ""بهرام رادان بازیگر"",
  ""evidence"": ""بهرام رادان، متولد 8 ثور 1358 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.""
}",1
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی زند,حمید جبلی,الیاس هوریابند,بله,,,top1,علی زند,,این تصویر متعلق به علی زند است. این بیوگرافی برای اوست: علی زند، ورزشکار کاراته، در تاریخ 4 خرداد 1378 (25 سال) در اراک متولد شده است...,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها"",
  ""evidence"": ""این تصویر متعلق به علی زند است. این بیوگرافی برای اوست: علی زند، ورزشکار کاراته، در تاریخ 4 خرداد 1378 (25 سال) در اراک متولد شده است...""
}",1
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,شیوا مقانلو,بهرام چوبین,زهرا اینچه‌درگاهی,خیر,خیر,خیر,none,,,,,0
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,رسول نجفیان,لاله اسکندری,امیرعلی دانایی,خیر,خیر,خیر,none,,,,,0
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فهرست مربیان تیم ملی فوتبال ایران,وزیر ورزش و جوانان,امید کردستانی,بله,,,top1,فهرست مربیان تیم ملی فوتبال ایران,دهمین رئیس فدراسیون فوتبال ایران,این تصویر متعلق به فهرست مربیان تیم ملی فوتبال ایران,"{
  ""predicted_option"": ""دهمین رئیس فدراسیون فوتبال ایران"",
  ""evidence"": ""این تصویر متعلق به فهرست مربیان تیم ملی فوتبال ایران""
}",1
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,نیکی کریمی,مریلا زارعی,مریلا زارعی,بله,,,top1,نیکی کریمی,برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,کریمی برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.,"{
  ""predicted_option"": ""برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد"",
  ""evidence"": ""کریمی برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.""
}",1
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,محمدرضا فروتن,شهرام حقیقت‌دوست,بانیپال شومون,بله,,,top1,محمدرضا فروتن,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,فروتن موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است.,"{
  ""predicted_option"": ""موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است"",
  ""evidence"": ""فروتن موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است.""
}",1
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,لاله اسکندری,سیامک انصاری,رسول نجفیان,خیر,خیر,خیر,none,,,,,0
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهرداد صدیقیان,رسول نجفیان,عباس غزالی,بله,,,top1,مهرداد صدیقیان,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟ - او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,"{
  ""predicted_option"": ""او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است"",
  ""evidence"": ""این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟ - او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است""
}",1
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,هادی پاکزاد,رسول نجفیان,فریدون آسرایی,خیر,خیر,بله,top3,فریدون آسرایی,آلبوم هایی مانند «سرگذشت» (1377),فریدون آسرایی، متولد 17 مرداد 1335 در آسارا، خواننده ایرانی است که از سال 1377 فعالیت خود را آغاز کرد. او آلبوم‌هایی مانند «سرگذشت» (1377)، «اولین سلام» (1380)، «غریبه» (1383)، «از تو دورم» (1386)، «ریمیکس» (1387)، «خاطرات گم‌شده» (1390)، «عشق یعنی» (1393) و «آخرین سلام» (1402) منتشر کرد.,"{
  ""predicted_option"": ""آلبوم هایی مانند «سرگذشت» (1377)"",
  ""evidence"": ""فریدون آسرایی، متولد 17 مرداد 1335 در آسارا، خواننده ایرانی است که از سال 1377 فعالیت خود را آغاز کرد. او آلبوم‌هایی مانند «سرگذشت» (1377)، «اولین سلام» (1380)، «غریبه» (1383)، «از تو دورم» (1386)، «ریمیکس» (1387)، «خاطرات گم‌شده» (1390)، «عشق یعنی» (1393) و «آخرین سلام» (1402) منتشر کرد.""
}",3
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,اسفندیار قره‌باغی,سهراب سپهری,خلیل عقاب,بله,,,top1,اسفندیار قره‌باغی,,او با سرودهایی چون «ای ایران» (1350) و «آمریکا، آمریکا» و سمفونی‌هایی مانند «خلیج‌فارس» شناخته شد و در 17 آذر 1401 درگذشت.,"{
  ""predicted_option"": ""در سال 1401 شمسی درگذشت."",
  ""evidence"": ""او با سرودهایی چون «ای ایران» (1350) و «آمریکا، آمریکا» و سمفونی‌هایی مانند «خلیج‌فارس» شناخته شد و در 17 آذر 1401 درگذشت.""
}",1
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور,فروغی بسطامی,الهامی کرمانشاهی,خیر,خیر,بله,top3,الهامی کرمانشاهی,فروغی بسطامی، شاعر دوره قاجاریان، در سال 1213 هجری قمری در کربلا زاده شد و در سال 1274 هجری درگذشت. او دیوان اشعار را سرود.,او در سال 1325 هجری قمری در کرمانشاه درگذشت.,"{
  ""predicted_option"": ""فروغی بسطامی، شاعر دوره قاجاریان، در سال 1213 هجری قمری در کربلا زاده شد و در سال 1274 هجری درگذشت. او دیوان اشعار را سرود."",
  ""evidence"": ""او در سال 1325 هجری قمری در کرمانشاه درگذشت.""
}",3
این فرد چه آثاری خلق کرده است؟,https://tse4.mm.bing.net/th/id/OIP.jmSfNbyoI_UJgSgWdg7PJgHaFH?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,هرمز سیرتی,حبیب محبیان,سید ابراهیم نبوی,بله,,,top1,هرمز سیرتی,او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد,هرمز سیرتی، متولد سال 1319 در بابل، مازندران، بازیگر تئاتر، سینما، تلویزیون و رادیو ایرانی است که از دهه چهل فعالیت خود را آغاز کرد.,"{
  ""predicted_option"": ""او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد"",
  ""evidence"": ""هرمز سیرتی، متولد سال 1319 در بابل، مازندران، بازیگر تئاتر، سینما، تلویزیون و رادیو ایرانی است که از دهه چهل فعالیت خود را آغاز کرد.""
}",1
این شاعر چه آثاری دارد؟,https://th.bing.com/th/id/R.20d72fd44870ac1fa9c0b30e9337abf6?rik=7wp1%2f9JnY7%2bcQg&riu=http%3a%2f%2fbiographyha.com%2fwp-content%2fuploads%2f2014%2f04%2fManouchehr-ehterami-biographya-com-4.jpg&ehk=sFukI3v6%2ba8aXT5iHJ8Zop5sWh9RVByeXVX3xrRkBZg%3d&risl=&pid=ImgRaw&r=0,منوچهر احترامی,یدالله طارمی,سید ابراهیم نبوی,بله,,,top1,منوچهر احترامی, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت.,"{
  ""predicted_option"": ""او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت"",
  ""evidence"": ""او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت.""
}",1
