question,image_url,top1_name,top2_name,top3_name,chosen_name,chosen_top,hit_at,pred_answer,evidence,dists,note
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج,نیما یوشیج,نادر ابراهیمی,نیما یوشیج,top1,1,نیما یوشیج شاعر,نیما یوشیج، معروف به علی اسفندیاری و پدر شعر نو، در 21 آبان 1276 در یوش، استان مازندران، متولد شد. او به عنوان شاعر و نویسنده فعالیت می‌کرد و آثاری چون افسانه، ای شب، ققنوس، غراب و روجا از او به جا مانده است.,cand1:0.783 | cand2:0.783 | cand3:1.436,
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,رسول خادم,علیرضا بیرانوند,علی دایی,top1,1,علی دایی,علی دایی، ورزشکار فوتبال، در تاریخ 1 فروردین 1348 (56 سال) در اردبیل متولد شده است,cand1:0.628 | cand2:1.134 | cand3:1.385,
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,امیر معماری,علی رحیمی کازرونی,آرین سلیمی,top1,1,آرین سلیمی,آرین سلیمی، ورزشکار تکواندو، در تاریخ 25 آذر 1382 (21 سال) در کرمانشاه متولد شده است,cand1:0.777 | cand2:1.391 | cand3:1.452,
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده,احمدرضا عابدزاده,محمدجواد محمدی,امیر عابدزاده,top1,1,امیر عابدزاده، پرسپولیس,این تصویر متعلق به امیر عابدزاده است. این بیوگرافی برای اوست: امیر عابدزاده، ورزشکار فوتبال، در تاریخ 6 اردیبهشت 1372 (32 سال) [1] در تهران، ایران متولد شده است، قد ایشان 1، 85 متر (6 فوت 1 اینچ) [1] است، در تیم‌های لس‌آنجلس بلوز، لس‌آنجلس، پرسپولیس، راه‌آهن، باریرنسه، ماریتیمو، پونفرادینا، ماریتیمو و کاستیون بازی کرده است.,cand1:0.680 | cand2:1.312 | cand3:1.441,
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علی‌پور,الهه احمدی,حمیده عباسعلی,,none,0,,,cand1:1.024 | cand2:1.300 | cand3:1.405,
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی,وانه خچومیان,نیما عالمیان,حامد حدادی,top1,1,حامد حدادی ، بسکتبال,حامد حدادی، ورزشکار بسکتبال، در تاریخ 29 اردیبهشت 1364 (39 سال) در اهواز متولد شده است,cand1:0.877 | cand2:1.420 | cand3:1.424,
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی,بهروز وثوقی,جاسم امیری,بهروز مکوندی,top1,1,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی، ورزشکار فوتبال، در تاریخ 23 اوت 1963 (61 سال) در مسجدسلیمان، ایران متولد شده است,cand1:0.738 | cand2:1.374 | cand3:1.377,
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی,سعید صادقی,ساره جوانمردی,زهره کودایی,top1,1,زهره کودایی سپاهان,زهره کودایی، ورزشکار فوتبال، در تاریخ 3 آذر 1368 در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب‌آهن بازی کرده است.,cand1:0.849 | cand2:1.474 | cand3:1.355,
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,رضا یزدان‌دوست,حسین کریمی,,none,0,,,cand1:1.398 | cand2:1.442 | cand3:1.424,
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی,رضا صفایی,ایمان شوریابی,رضا حقیقی,top1,1,رضا حقیقی فوتبال,رضا حقیقی، ورزشکار فوتبال,cand1:0.708 | cand2:1.305 | cand3:1.371,
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده,ایمان شوریابی,سینا خادم‌پور,فرشاد احمدزاده,top1,1,فرشاد احمدزاده ارومیه,فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ 1 مهر 1371 (32 سال) در ارومیه، ایران متولد شده است,cand1:0.840 | cand2:1.357 | cand3:1.387,
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان,علیرضا منصوریان,سجاد انوشیروانی,علیرضا منصوریان,top1,1,علیرضا منصوریان بالستیر گیلانگ,در تیم‌های پارس‌خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.,cand1:0.576 | cand2:0.576 | cand3:1.421,
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امامعلی حبیبی,محمدقلی بیگ طرشتی تهرانی,محمد بلبلی,,none,0,,,cand1:1.353 | cand2:1.479 | cand3:1.359,
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری,آریا داوری,علی والی,آریا داوری,top1,1,آریا داوری کشتی,آریا داوری، ورزشکار کشتی، در تاریخ 11 آوریل 1989 در پلیموث، مینه‌سوتا متولد شده است.,cand1:0.869 | cand2:0.869 | cand3:1.376,
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور,علی کریمی,سعید شیرود قربانی,علی علیپور,top1,1,علی علیپور 29 سال,علی علیپور، ورزشکار فوتبال، در تاریخ 20 آبان 1374 (29 سال) در قائم‌شهر، ایران متولد شده است,cand1:0.808 | cand2:1.345 | cand3:1.336,
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی رحیمی کازرونی,علی شفیعی,حسن رحیمی,علی شفیعی,top2,2,علی شفیعی,این تصویر متعلق به علی شفیعی است.,cand1:1.396 | cand2:0.787 | cand3:1.454,
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح,شیوا مقانلو,الهام شیخی,الهام فلاح,top1,1,الهام فلاح والیبال,الهام فلاح، ورزشکار والیبال، در تاریخ 25 فروردین 1373 (31 سال) شیراز در تیم ملی بزرگسالان ایران متولد شده است,cand1:0.930 | cand2:1.382 | cand3:1.215,
کدام گزینه درباره ی این فرد صحیح است؟,https://tse1.mm.bing.net/th/id/OIP.El10jtpn4kDl1xtsd8MSFQHaHI?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی انصاریان,محمدحسن انصاری‌فرد,کریم انصاری‌فرد,علی انصاریان,top1,1,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,علی انصاریان، متولد 14 تیر 1356 در تهران، بازیکن فوتبال، بازیگر و مجری بود.,cand1:0.830 | cand2:1.431 | cand3:1.371,
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse2.mm.bing.net/th/id/OIP.uTkBFD_F0Uj8GWPZLaAyegHaER?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سردار آزمون,سردار آزمون,احسان علوان‌زاده,سردار آزمون,top1,1,سردار آزمون گنبد کاووس,سردار آزمون، ورزشکار فوتبال، در تاریخ 11 دی 1373 (30 سال) در گنبد کاووس، ایران متولد شده است,cand1:0.789 | cand2:0.789 | cand3:1.436,
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان,رامین رضاییان,کاوه رضایی,رامین رضاییان,top1,1,رامین رضاییان فوتبال,رامین رضاییان، ورزشکار فوتبال، در تاریخ 1 فروردین 1369 (35 سال) در سمسکنده علیا، ساری، مازندران، ایران متولد شده است.,cand1:0.810 | cand2:0.810 | cand3:1.319,
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,عاقل حبیبیان,قربان بردیف,رحمان احمدی,top1,1,رحمان احمدی,این تصویر متعلق به رحمان احمدی است. این بیوگرافی برای اوست: رحمان احمدی، ورزشکار فوتبال، در تاریخ 8 مرداد 1359 (44 سال) در نوشهر، ایران متولد شده است.,cand1:0.565 | cand2:1.355 | cand3:1.340,
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,لاله اسکندری,گوهر خیراندیش,,none,0,,,cand1:1.410 | cand2:1.410 | cand3:1.409,
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سجاد انوشیروانی,سیامک انصاری,مهران مدیری,,none,0,,,cand1:1.364 | cand2:1.422 | cand3:1.307,
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,شهره آغداشلو,هنگامه قاضیانی,هوتن شکیبا,شهره آغداشلو,top1,1,بازیگر جایزه امی,آغداشلو در مجموعه‌های تلویزیونی مانند «24» (1384)، «خانه صدام» (1387) و «گستره» (1394) نقش‌آفرینی کرده و در بازی‌های ویدئویی چون «تاثیر فراگیر 3» (1391) و «آرا: تاریخ ناگفته» (1402) حضور داشته است. او برنده جایزه امی برای «خانه صدام» (1387) شده است.,cand1:0.673 | cand2:1.328 | cand3:1.464,
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,سیمین بهبهانی,هنگامه قاضیانی,شهره آغداشلو,سیمین بهبهانی,top1,1,ادبیات نامزد جایزه نوبل ادبیات,سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد. او به عنوان شاعر، نویسنده، معلم و غزل‌سرا فعالیت می‌کرد و... بین سال‌های 1999 تا 2002 نامزد جایزه نوبل ادبیات بود.,cand1:0.923 | cand2:1.329 | cand3:1.358,
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست,مهناز افشار,الهام حمیدی,الناز شاکردوست,top1,1,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست، متولد 7 تیر 1363 در تهران، بازیگر از دهه 1380 است. او در فیلم‌هایی چون «گل یخ» (1383)، «شبی که ماه کامل شد» (1397)، «بی‌بدن» (1402) و نمایش خانگی «قلب یخی» (1389) بازی کرد و برنده سیمرغ بلورین برای «شبی که ماه کامل شد» (1397) شد.,cand1:0.728 | cand2:1.303,
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,الهام حمیدی,الناز شاکردوست,,none,0,,,cand1:1.294 | cand3:1.385,
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی,مازیار فلاحی,فرزاد فرزین,,none,0,,,cand1:1.082 | cand2:1.082 | cand3:1.358,
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,سید مصطفی هاشمی‌طبا,بهرام رادان,علی دایی,,none,0,,,cand1:1.400 | cand2:1.394 | cand3:1.282,
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,ژاله صامتی,لاله اسکندری,پریناز ایزدیار,ژاله صامتی,top1,1,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,cand1:0.644 | cand2:1.352 | cand3:1.362,
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,پریناز ایزدیار,شبنم مقدمی,لاله اسکندری,پریناز ایزدیار,top1,1,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,ایزدیار در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد.,cand1:0.573 | cand2:1.362 | cand3:1.337,
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امید روحانی,سید ابراهیم نبوی,محمدرضا فروتن,,none,0,,,cand1:1.430 | cand2:1.434 | cand3:1.367,
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,محسن یگانه,رضا یزدانی,لاله اسکندری,محسن یگانه,top1,1,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,یگانه برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد.,cand1:0.693 | cand2:1.268 | cand3:1.489,
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار,بهاره رهنما,زهرا داوودنژاد,میترا حجار,top1,1,میترا حجار بازیگر,میترا حجار، متولد 15 دلو 1355 در مشهد، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,cand1:0.665 | cand2:1.402 | cand3:1.470,
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرّخزاد,فریدون فرخزاد,فروغ فرخزاد,فریدون فرّخزاد,top1,1,فریدون فرخزاد شاعر,فریدون فرخزاد، متولد 23 مهر 1315 در تهران، خواننده و شاعر بود.,cand1:0.670 | cand2:0.813 | cand3:1.323,
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار,نیلوفر لاری‌پور,لیلا اوتادی,مهناز افشار,top1,1,مهناز افشار آتش بس,مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است.,cand1:0.602 | cand2:1.356 | cand3:1.355,
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان,بهرام افشاری,علی دایی,بهرام رادان,top1,1,بهرام رادان بازیگر,بهرام رادان، متولد 8 ثور 1358 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است.,cand1:0.553 | cand2:1.474 | cand3:1.396,
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی زند,حمید جبلی,الیاس هوریابند,,none,0,,,cand1:1.345 | cand2:1.436 | cand3:1.452,
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,شیوا مقانلو,بهرام چوبین,زهرا اینچه‌درگاهی,,none,0,,,cand1:1.440 | cand2:1.446 | cand3:1.407,
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,رسول نجفیان,لاله اسکندری,امیرعلی دانایی,,none,0,,,cand1:1.454 | cand2:1.370 | cand3:1.389,
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فهرست مربیان تیم ملی فوتبال ایران,وزیر ورزش و جوانان,امید کردستانی,,none,0,,,cand1:1.408 | cand2:1.390 | cand3:1.417,
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,نیکی کریمی,مریلا زارعی,مریلا زارعی,نیکی کریمی,top1,1,برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,کریمی برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.,cand1:0.839 | cand2:1.369 | cand3:1.369,
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,محمدرضا فروتن,شهرام حقیقت‌دوست,بانیپال شومون,محمدرضا فروتن,top1,1,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,فروتن موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است.,cand1:0.671 | cand2:1.370 | cand3:1.424,
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,لاله اسکندری,سیامک انصاری,رسول نجفیان,,none,0,,,cand1:1.425 | cand2:1.486 | cand3:1.414,
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهرداد صدیقیان,رسول نجفیان,عباس غزالی,مهرداد صدیقیان,top1,1,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟ - او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,cand1:0.478 | cand2:1.367 | cand3:1.381,
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,هادی پاکزاد,رسول نجفیان,فریدون آسرایی,,none,0,,,cand1:1.412 | cand2:1.441 | cand3:1.352,
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,اسفندیار قره‌باغی,سهراب سپهری,خلیل عقاب,,none,0,,,cand1:1.415 | cand2:1.378 | cand3:1.401,
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور,فروغی بسطامی,الهامی کرمانشاهی,,none,0,,,cand1:1.384 | cand2:1.401 | cand3:1.420,
این فرد چه آثاری خلق کرده است؟,https://tse4.mm.bing.net/th/id/OIP.jmSfNbyoI_UJgSgWdg7PJgHaFH?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,هرمز سیرتی,حبیب محبیان,سید ابراهیم نبوی,,none,0,,,cand1:1.360 | cand2:1.339 | cand3:1.461,
این شاعر چه آثاری دارد؟,https://th.bing.com/th/id/R.20d72fd44870ac1fa9c0b30e9337abf6?rik=7wp1%2f9JnY7%2bcQg&riu=http%3a%2f%2fbiographyha.com%2fwp-content%2fuploads%2f2014%2f04%2fManouchehr-ehterami-biographya-com-4.jpg&ehk=sFukI3v6%2ba8aXT5iHJ8Zop5sWh9RVByeXVX3xrRkBZg%3d&risl=&pid=ImgRaw&r=0,منوچهر احترامی,یدالله طارمی,سید ابراهیم نبوی,منوچهر احترامی,top1,1, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت.,cand1:0.702 | cand2:1.244 | cand3:1.362,
