question,category,gold_answer,target_name,answer_text,evidence_span,ctx_names
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,art_music,سحر دولتشاهی,سحر دولتشاهی,سحر دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد.,دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر برای «چهارراه استانبول» و «عرق سرد» شد.,"['شبنم مقدمی', 'سحر دولتشاهی', 'هنگامه قاضیانی']"
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,art_music,مهناز افشار,مهناز افشار,نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد»,افشار در سال 1390 نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» شد.,"['مهناز افشار', 'شبنم مقدمی', 'پریناز ایزدیار']"
دایره المعارف شیطان اثر کیست؟,poets,ابراهیم نبوی,دایره المعارف شیطان,نمی‌دانم,,"['زرتشت', 'سید حسین نصر', 'داریوش شایگان']"
ایرج میرزرا به چه نامی معروف بود؟,poets,جلال الممالک,ایرج میرزا,جلال‌الممالک یا فخرالشعرا,ایرج میرزا، معروف به جلال‌الممالک یا فخرالشعرا,"['ایرج میرزا', 'ایرج فاضل', 'ایرج اسکندری']"
کدام شاعر به پدر شعر انقلاب معروف است؟,poets,حمید سبزواری,حمید سبزواری,حمید سبزواری، معروف به شاعر انقلاب و پدر شعر انقلاب است.,حمید سبزواری، معروف به شاعر انقلاب و پدر شعر انقلاب، در سال 1304 در سبزوار، استان خراسان رضوی، متولد شد.,"['حمید سبزواری', 'نیما یوشیج', 'عبدالعلی ادیب برومند']"
پدر ادبیات تاجیک کیست؟,poets,رودکی,پدر ادبیات تاجیک,نمی‌دانم,,"['امان\u200cالله تاجیک', 'سعدی', 'احمد کریمی حکاک']"
کارگردان مغزهای کوچک زنگ زده کیست؟,art_music,هومن سیدی,هومن سیدی,کارگردان فیلم مغزهای کوچک زنگ زده هومن سیدی است.,سیدی برای کارگردانی «مغزهای کوچک زنگ‌زده» جوایز متعددی دریافت کرده است.,"['هومن سیدی', 'شهرام شاه\u200cحسینی', 'کیکاووس یاکیده']"
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,art_music,داریوش ارجمند,داریوش ارجمند,برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد.,ارجمند برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد.,"['داریوش ارجمند', 'رضا عطاران', 'نوید محمدزاده']"
مهران مدیری متولد چه سالی است؟,art_music,1346,مهران مدیری,1346,مهران مدیری، متولد 29 فروردین 1346 در تهران,"['مهران مدیری', 'مهران قاسمی', 'مهران امیری']"
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,art_music,درباه الی و زخم کاری,رعنا آزادیور,رعنا آزادیور در فیلم‌هایی مانند «مارمولک» در سال 1382، «درباره الی» در سال 1387، «محمد رسول‌الله» در سال 1394، و «چهارراه استانبول» در سال 1396 بازی کرده است.,او در فیلم‌هایی مانند «مارمولک» در سال 1382، «درباره الی» در سال 1387، «محمد رسول‌الله» در سال 1394، و «چهارراه استانبول» در سال 1396 نقش‌آفرینی کرده است.,"['رعنا آزادی\u200cور', 'زهرا داوودنژاد', 'افسانه چهره\u200cآزاد']"
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,art_music,شهره آغداشلو,شهره آغداشلو,شهره آغداشلو برنده جایزه امی برای «خانه صدام» (1387) شده است.,آغداشلو در مجموعه‌های تلویزیونی مانند «24» (1384)، «خانه صدام» (1387) و «گستره» (1394) نقش‌آفرینی کرده و در بازی‌های ویدئویی چون «تاثیر فراگیر 3» (1391) و «آرا: تاریخ ناگفته» (1402) حضور داشته است. او برنده جایزه امی برای «خانه صدام» (1387) و نامزد جایزه اسکار برای «خانه‌ای از شن و مه» (1382) شده است.,"['شهره آغداشلو', 'لاله اسکندری', 'پانته\u200cآ پناهی\u200cها']"
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,art_music,لیلا حاتمی,لیلا حاتمی,لیلا حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است.,حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرد.,"['لیلا حاتمی', 'هنگامه قاضیانی', 'شبنم مقدمی']"
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,art_music,فاطمه معتمدآریا,فاطمه معتمدآریا,فاطمه معتمدآریا برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است.,معتمدآریا برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.,"['فاطمه معتمدآریا', 'نگار جواهریان', 'طناز طباطبایی']"
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,art_music,بیست و ملاقات با جادوگر,علیرضا خمسه,علیرضا خمسه در فیلم‌هایی چون «مرگ یزدگرد» (1360)، «آپارتمان شماره 13» (1369)، «بیست» (1387) و مجموعه «پایتخت» (1389) بازی کرده است.,او در فیلم‌هایی چون «مرگ یزدگرد» (1360)، «آپارتمان شماره 13» (1369)، «بیست» (1387) و مجموعه «پایتخت» (1389) بازی کرد و برنده سیمرغ بلورین شد.,"['علیرضا خمسه', 'امیرحسین رستمی', 'اکبر قدمی']"
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,art_music,1380,مهرداد صدیقیان,دهه 1380,مهرداد صدیقیان، متولد 30 بهمن 1367 در تهران، بازیگر ایرانی است که از دهه 1380 فعالیت خود را آغاز کرده است.,"['مهرداد صدیقیان', 'مهرداد آسمانی', 'مهرداد بذرپاش']"
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,art_music,زیرخاکی,ژاله صامتی,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,صامتی در مجموعه‌های تلویزیونی مانند «زیرخاکی» در سال 1399 و مجموعه‌های نمایش خانگی مانند «پوست شیر» در سال 1401 حضور داشته است. او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,"['ژاله صامتی', 'سعید پورصمیمی', 'لاله اسکندری']"
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,art_music,ترانه علیدوستی,ترانه علیدوستی,برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد.,علیدوستی در فیلم‌هایی مانند «من ترانه 15 سال دارم» در سال 1380 ... برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد.,"['ترانه علیدوستی', 'طناز طباطبایی', 'مهناز افشار']"
امیرحسین حسین آرمان متولد کجا است؟,art_music,تهران,امیرحسین حسین آرمان,تهران,امیرحسین آرمان، متولد 14 آبان 1361 در تهران,"['امیرحسین آرمان', 'امیرحسین حسین\u200cزاده', 'آرمان قاسمی']"
انوشیروان ارجمند در چه سالی درگذشت؟,art_music,1393,انوشیروان ارجمند,23 آذر 1393,ارجمند در 23 آذر 1393 در تهران درگذشت.,"['انوشیروان ارجمند', 'انوشیروان روحانی', 'داریوش ارجمند']"
آرامگاه صائب تبریزی در کجا قرار دارد؟,poets,اصفهان,صائب تبریزی,آرامگاه صائب تبریزی در اصفهان قرار دارد.,صائب در سال 1087 هجری قمری در اصفهان درگذشت و آرامگاهش نیز در همان شهر قرار دارد.,"['صائب تبریزی', 'صابر همدانی', 'همام تبریزی']"
شعر شب عشق از کدام ترانه سرا است؟,poets,لیلا کسری,نیلوفر لاری‌پور,شعر شب عشق از نیلوفر لاری‌پور است.,نیلوفر لاری‌پور، متولد 6 مرداد 1349 در تهران، شاعر، ترانه‌سرا و روزنامه‌نگار ایرانی است.,"['نیلوفر لاری\u200cپور', 'حبیب محبیان', 'میرزاده عشقی']"
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,politicians,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,لیلی جهان آرا,لیلی جهان آرا در زمینه مدیر آموزشی، مدرس دانشگاه، مدیرعامل کانون پرورش فکری کودکان و نوجوانان، رئیس کتابخانه‌ی دانشگاه ملی و رئیس کتابخانه‌ی شرکت ملی نفت ایران فعالیت داشته است.,زمینه‌های فعالیت او شامل مدیر آموزشی و مدرس دانشگاه و مدیرعامل کانون پرورش فکری کودکان و نوجوانان و رئیس کتابخانه‌ی دانشگاه ملی و رئیس کتابخانه‌ی شرکت ملی نفت ایران و استادیار کتابداری دانشگاه تهران و عضو شورای آموزش کشور می‌شود.,"['لیلی جهان\u200cآرا', 'لیلا برخورداری', 'لیلا زارع']"
سید ابراهیم رئیسی در چه سالی درگذشت؟,politicians,1403,سید ابراهیم رئیسی,1403 - 05 - 04,او در نهایت در تاریخ 1403 - 05 - 04 از دنیا رفت.,"['سید ابراهیم رئیس\u200cالساداتی', 'سید حشمت\u200cالله رئیسی', 'سید ابراهیم نبوی']"
حسن روحانی در کجا متولد شده است؟,politicians,سمنان,حسن روحانی,حسن روحانی در شهر سرخه واقع در سمنان به دنیا آمد.,حسن روحانی در تاریخ 1948 - 12 - 11 در شهر سرخه واقع در سمنان به دنیا آمد.,"['حسن روحانی', 'حسن روحانی ', 'فؤاد روحانی']"
گوهر خیراندیش در چه سریالی ضور داشته است؟,art_music,میوه ممنوعه,گوهر خیراندیش,او در سریال‌هایی مانند «میوه ممنوعه» در سال 1386 حضور داشته است.,او در فیلم‌هایی مانند «ارتفاع پست» در سال 1380، «جهان با من برقص» در سال 1398، و «آذر، شهدخت، پرویز و دیگران» در سال 1392 و سریال‌هایی مانند «میوه ممنوعه» در سال 1386 حضور داشته است.,"['گوهر خیراندیش', 'غلامرضا نیکخواه', 'سیاوش مفیدی']"
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,art_music,1392,پژمان جمشیدی,از سال 1392 به عنوان بازیگر فعالیت می‌کند.,او از سال 1392 به عنوان بازیگر فعالیت می‌کند.,"['پژمان جمشیدی', 'پژمان جمشیدی', 'پارسا پیروزفر']"
آلبوم های امید حاجیلی کدام است؟,art_music,آلگرو,امید حاجیلی,آلبوم‌های امید حاجیلی شامل «آلگرو» (1387)، «حاجیلیتو» (1395) و «ترومپت» (1400) است.,او آلبوم‌های «آلگرو» (1387)، «حاجیلیتو» (1395) و «ترومپت» (1400) منتشر کرد.,"['امید حاجیلی', 'امید سلطانی', 'شادمهر عقیلی']"
بنیان‌گذار شهرستان ملکشاهی چه کسی است؟,politicians,فرامرز اسدی,فرامرز اسدی,بنیان‌گذار شهرستان ملکشاهی فرامرز اسدی است.,از آثار برجسته او می‌توان به بنیان‌گذار شهر ارکواز، بنیان‌گذار شهرستان ملکشاهی اشاره کرد.,"['فرامرز اسدی', 'جلال ملکشاه', 'رضا ملک\u200cزاده']"
از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران و موسس مدرسه علوم سیاسی کیست؟,politicians,حسن پیزنیا,حسن پیرنیا,از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران و موسس مدرسه علوم سیاسی.,او در دوره عهد قاجار فعالیت و زیست کرده است. از آثار برجسته او می‌توان به تاریخ ایران باستان اشاره کرد. درباره مهم‌ترین رویداد‌های زندگی او گفته‌شده است: موسس مدرسه علوم سیاسی. از پایه‌گذاران آیین دادرسی کیفری و مدنی ایران.,"['حسن پیرنیا', 'حسن ابراهیم حبیبی', 'سید محمد حسینی خامنه\u200cای']"
معاون شهرسازی و معماری شهرداری تهران (خرداد-آبان 1397) که بود؟,politicians,پیروز حناچی,پیروز حناچی,معاون شهرسازی و معماری شهرداری تهران (خرداد-آبان 1397) پیروز حناچی بود.,معاون شهرسازی و معماری شهرداری تهران (خرداد-آبان 1397).,"['خسرو دانشجو', 'پیروز حناچی', 'علی عبدالعلی\u200cزاده']"
چهارمین مرد قدرتمند در ایران (2009 - مجله نیوزویک) کیست؟,politicians,سید محمد خاتمی,سید محمد خاتمی,چهارمین مرد قدرتمند در ایران (2009 - مجله نیوزویک),چهارمین مرد قدرتمند در ایران (2009 - مجله نیوزویک),"['سید محمد خاتمی', 'سید ابراهیم نبوی', 'نعمت\u200cالله نصیری']"
چه کسی با تشکیل گروه کودتا با همکاری صدام حسین متهم به خیانت و اعدام غیابی شد؟,politicians,تیمور بختیار,تیمور بختیار,تیمور بختیار با تشکیل گروه کودتا با همکاری صدام حسین متهم به خیانت و اعدام غیابی شد.,تشکیل گروه کودتا با همکاری صدام حسین. ... اعدام غیابی به اتهام خیانت.,"['تیمور بختیار', 'مهدی عراقی', 'حسین فدایی']"
حاجعلی رزمآرا توسط چه کسی ترور شد؟,politicians, ترور توسط خلیل طهماسبی (فدائیان اسلام),حاجعلی رزمآرا,حاجعلی رزم‌آرا توسط خلیل طهماسبی (فدائیان اسلام) ترور شد.,ترور توسط خلیل طهماسبی (فدائیان اسلام).,"['حاجعلی رزم\u200cآرا', 'حاجب شیرازی', 'میرزاده عشقی']"
حسنعلی منصور توسط چه کسی ترور شد؟,politicians,محمد بخارایی,حسنعلی منصور,حسنعلی منصور توسط محمد بخارایی ترور شد.,ترور توسط محمد بخارایی.,"['حسنعلی منصور', 'مهدی عراقی', 'محمد صادق امانی همدانی']"
بدرالدین هلالی استرآباد توسط چه کسی به قتل رسید؟,poets,هلالی در سال 936 هجری قمری به اتهام تشیع توسط امیر عبیدالله خان ازبک و سیف‌الله نامی به قتل رسید,بدرالدین هلالی استرآباد,بدرالدین هلالی استرآباد به اتهام تشیع توسط امیر عبیدالله خان ازبک و سیف‌الله نامی به قتل رسید.,هلالی در سال 936 هجری قمری به اتهام تشیع توسط امیر عبیدالله خان ازبک و سیف‌الله نامی به قتل رسید.,"['بدرالدین هلالی استرآبادی', 'علی\u200cاصغر بروجردی', 'فریدون فرخزاد']"
آدمک و بهار بهار آثار کیست؟,poets,تورج شعبانخانی,تورج شعبان‌خانی,آثار آدمک و بهار بهار از تورج شعبان‌خانی است.,او آثاری چون آدمک و بهار بهار را خلق کرد.,"['تورج شعبان\u200cخانی', 'کامران و هومن', 'محمدتقی بهار']"
چه کسی در سال 1390 برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی شد؟,scientists,اردشیر قوامزاده,اردشیر قوام‌زاده,برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی,قوام‌زاده ... در سال 1390 برترین پژوهشگر جهان در زمینه سرطان و بیماری‌های خونی شد.,"['اردشیر قوام\u200cزاده', 'علیرضا مشاقی طبری', 'رضا ملک\u200cزاده']"
چه کسی با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را در برابر حکیمان هند اثبات کرد؟,scientists,بزرگمهر,بزرگمهر,بزرگمهر با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را در برابر حکیمان هند اثبات کرد.,بزرگمهر... با حل معمای شطرنج و اختراع نرد، برتری فکری ایران را در برابر حکیمان هند اثبات کرد.,"['بزرگمهر ', 'الشن مرادی', 'محمد امین طباطبایی']"
چه کسی  تقویم جلالی را طراحی کرد و سلطان سنجر را از آبله درمان نمود؟,scientists,عمر خیام,عمر خیام,عمر خیام تقویم جلالی را طراحی کرد و سلطان سنجر را از آبله درمان نمود.,خیام حدود سال‌های 458 تا 476 هجری شمسی سرپرست رصدخانه اصفهان بود، تقویم جلالی را طراحی کرد و سلطان سنجر را از آبله درمان نمود.,"['عمر خیام', 'ملا علی قوشچی', 'وحیدالزمان قزوینی']"
چه کسی دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد؟,scientists,مهدی گلشنی در سال 1376 دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد,مهدی گلشنی,مهدی گلشنی در سال 1376 دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد.,مهدی گلشنی، متولد 1318 شمسی در اصفهان، فیزیک‌دان نظری و استاد است. او در سال 1376 دانشکده فلسفه علم دانشگاه صنعتی شریف را تاسیس کرد.,"['مهدی گلشنی', 'غلامرضا اعوانی', 'سید حسین نصر']"
چه کسی به ابن‌سینا دانش پزشکی آموخت؟,scientists,ابومنصور حسن بن نوح کمرهای بخاری در بغداد به ابن‌سینا دانش پزشکی آموخت,ابومنصور حسن بن نوح کمرهای بخاری,بخاری در بغداد به ابن‌سینا دانش پزشکی آموخت.,ابومنصور حسن بن نوح کمرهای بخاری، معروف به شمسی البخاری، در کمره بخارا متولد شد. او به‌عنوان پزشک در سده چهارم هجری فعالیت می‌کرد و آثاری چون غنی و منی و التنویر فی الاصطلاحات الطبیه از او منتشر شده است. بخاری در بغداد به ابن‌سینا دانش پزشکی آموخت.,"['ابن سینا', 'ابومنصور حسن بن نوح کمرهای بخاری', 'برزویه']"
چه کسی برای بازی در «نفس» جایزه بهترین بازیگر زن را از جشنواره‌های بین‌المللی دریافت کرد؟,art_music,پانتهآ پناهیها,پانته‌آ پناهی‌ها,برای بازی در «نفس» جایزه بهترین بازیگر زن را از جشنواره‌های بین‌المللی دریافت کرد.,او برای بازی در «نفس» جایزه بهترین بازیگر زن را از جشنواره‌های بین‌المللی دریافت کرد.,"['مریم پالیزبان', 'شبنم مقدمی', 'پانته\u200cآ پناهی\u200cها']"
کدام بازیگر در خیزش 1401 ایران با برداشتن حجاب از زنان ایرانی حمایت کرد؟,art_music,مریم پالیزبان,مریم پالیزبان,در خیزش 1401 ایران با برداشتن حجاب از زنان ایرانی حمایت کرد.,او در خیزش 1401 ایران با برداشتن حجاب از زنان ایرانی حمایت کرد.,"['مریم پالیزبان', 'شیوا ابراهیمی', 'فرزین محدث']"
چه کسی فیلمنامه ی شب های برره را نوشته است؟,art_music,بهاره رهنما,بهاره رهنما,فیلمنامه ی شب های برره را بهاره رهنما نوشته است.,او همچنین در تئاترهایی مانند «شاه لیر» در سال 1397 و «دورهمی زنان شکسپیر» در سال 1393 نقش‌آفرینی کرده و فیلم‌نامه‌هایی مانند «شب‌های برره» و «باغ مظفر» نوشته است.,"['بهاره رهنما', 'احمد ایراندوست', 'شهرام شب\u200cپره']"
چه کسی برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز» شد؟,art_music,نوید محمدزاده,نوید محمدزاده,برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز»,محمدزاده در سال 1395 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل مرد در جشنواره فیلم فجر برای «ابد و یک روز» شد.,"['نوید محمدزاده', 'شبنم مقدمی', 'فرهاد اصلانی']"
چه کسانی فرهاد اصلانی را متهم به آزار جنسی کرده اند؟,art_music,سمیه میرشمسی و آوازه شهناز او را متهم به آزار جنسی کردند,فرهاد اصلانی,سمیه میرشمسی و آوازه شهناز فرهاد اصلانی را متهم به آزار جنسی کرده‌اند.,در سال 1401، سمیه میرشمسی و آوازه شهناز او را متهم به آزار جنسی کردند، اتهاماتی که اصلانی رد کرده و از میرشمسی شکایت کرده است.,"['فرهاد اصلانی', 'فرزاد حسنی ساطحی', 'فرهاد کرمانشاهی']"
باران کوثری چه جوایزی گرفته است؟,art_music,او جوایزی از جمله بهترین بازیگر زن جشنواره تئاتر فجر (1379) دریافت کرده است,باران کوثری,باران کوثری برای بازی در «خون‌بازی» جایزه بهترین بازیگر زن را از بیست و پنجمین جشنواره فیلم فجر دریافت کرد.,او برای بازی در «خون‌بازی» جایزه بهترین بازیگر زن را از بیست و پنجمین جشنواره فیلم فجر دریافت کرد.,"['باران کوثری', 'محمداسماعیل کوثری', 'آروین معظمی گودرزی']"
یکی از برجسته‌ترین بازیگران سینمای ایران در دهه‌های 1340 و 1350  چه کسی است؟,art_music,بهروز وثوقی,بهروز وثوقی,بهروز وثوقی یکی از برجسته‌ترین بازیگران سینمای ایران در دهه‌های 1340 و 1350 محسوب می‌شود.,وثوقی در مجموعه‌های تلویزیونی مانند «سلطان و شبان» (1363) حضور داشته و یکی از برجسته‌ترین بازیگران سینمای ایران در دهه‌های 1340 و 1350 محسوب می‌شود.,"['جمشید مشایخی', 'بهروز وثوقی', 'علی\u200cاصغر گرمسیری']"
