question,gold_answer,pred_answer,pred_score,is_correct,hit_at_3,top3_options,top3_scores,top3_names,top1_catalog_idx,top1_name
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,کشتی,1.8333333333333333,1,1,"[""کشتی"", ""فوتبال"", ""وزنه‌برداری""]","[1.833333, 0.25, 0.0]","[""حبیب‌الله بلور"", ""حبیب‌الله بلور"", ""حبیب‌الله اخلاقی""]",980,حبیب‌الله بلور
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,۱۳۶۳,1.0,1,1,"[""۱۳۶۳"", ""۱۳۵۹"", ""۱۳۷۱""]","[1.0, 0.0, 0.0]","[""بهرنگ صفری"", ""سعید صفری"", ""شکوفه صفری""]",860,بهرنگ صفری
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,۳,2.283333333333333,0,1,"[""۳"", ""۵"", ""۲""]","[2.283333, 2.283333, 1.783333]","[""عبدالله موحد"", ""علی‌اکبر موسوی موحدی"", ""بهادر مولایی""]",1547,عبدالله موحد
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,المپیک ۱۹۵۲ هلسینکی,0.0,0,1,"[""المپیک ۱۹۵۲ هلسینکی"", ""بازی‌های آسیایی ۱۹۵۱ دهلی نو"", ""قهرمانی جهان ۱۹۵۴""]","[0.0, 0.0, 0.0]","[""لوون کورکچیان"", ""ساره جوانمردی"", ""علی اشکوریان""]",1870,لوون کورکچیان
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,مارس ۱۹۸۲,0.0,0,1,"[""مارس ۱۹۸۲"", ""فوریهٔ ۱۹۷۹"", ""ژانویه ۱۹۸۸""]","[0.0, 0.0, 0.0]","[""علیرضا حقی"", ""علیرضا محمدی"", ""علیرضا حقیقی""]",1681,علیرضا حقی
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,کرواسی,0.0,1,1,"[""کرواسی"", ""ایران"", ""آلمان""]","[0.0, 0.0, 0.0]","[""زوونیمیر سولدو"", ""آلمدین زیلیکیچ"", ""آندره رینالدو""]",1272,زوونیمیر سولدو
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,۱۳۷۱,1.0,1,1,"[""۱۳۷۱"", ""۱۳۸۳"", ""۱۴۰۰""]","[1.0, 0.0, 0.0]","[""محراب شاهرخی"", ""ازرقی هروی"", ""سهراب سپهری""]",1962,محراب شاهرخی
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,۸۰,1.0,1,1,"[""۸۰"", ""۷۰"", ""۱۰۰""]","[1.0, 0.0, 0.0]","[""محمد جمشیدی "", ""بهروز جمشیدی"", ""محمد شهریان""]",2018,محمد جمشیدی 
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,تنکابن,1.0,1,1,"[""تنکابن"", ""تهران"", ""رشت""]","[1.0, 0.5, 0.0]","[""مجتبی گلیج"", ""مجتبی حق‌دوست"", ""محمدعلی زلفی‌گل""]",1943,مجتبی گلیج
قد ایمان موسوی چند است؟,۱/۸۴,۱/۸۴,0.0,1,1,"[""۱/۸۴"", ""۱/۶۵"", ""۱/۹۴""]","[0.0, 0.0, 0.0]","[""ایمان موسوی"", ""محمد موسوی"", ""احمد موسوی""]",801,ایمان موسوی
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""فوتبال"", ""کاراته""]","[1.0, 0.2, 0.0]","[""الهام فلاح"", ""مازیار فلاحی"", ""الهام امین‌زاده""]",670,الهام فلاح
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,استقلال و منچستر یونایتد,0.0,1,1,"[""استقلال و منچستر یونایتد"", ""سپاهان و رئال مادرید"", ""پاس و بارسلونا""]","[0.0, 0.0, 0.0]","[""ناصر حجازی"", ""آتیلا حجازی"", ""احمد نوراللهی""]",2487,ناصر حجازی
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,پرسپولیس و سپاهان,0.0,0,1,"[""پرسپولیس و سپاهان"", ""سایپا و استقلال"", ""ذوب‌آهن و تراکتور""]","[0.0, 0.0, 0.0]","[""امیرعلی صادقی"", ""اکبر صادقی "", ""محمدباقر صادقی""]",748,امیرعلی صادقی
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""کشتی"", ""کاراته""]","[1.0, 0.2, 0.0]","[""مهتاب رحمانی"", ""بختیار رحمانی"", ""رحمان رضایی ""]",2305,مهتاب رحمانی
بهتاش فریبا در چه شهری متولد شده است؟,تهران,تهران,1.5833333333333333,1,1,"[""تهران"", ""تبریز"", ""اصفهان""]","[1.583333, 0.0, 0.0]","[""بهتاش فریبا"", ""فریبا صادقی"", ""سعید بشیرتاش""]",849,بهتاش فریبا
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,دوچرخه‌سواری,1.0,1,1,"[""دوچرخه‌سواری"", ""فوتبال"", ""کشتی""]","[1.0, 0.0, 0.0]","[""صمد پورسیدی"", ""آزاده صمدی"", ""سعید پورصمیمی""]",1515,صمد پورسیدی
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,سیستان و بلوچستان ایران,0.0,0,1,"[""سیستان و بلوچستان ایران"", ""منامه بحرین"", ""بغداد عراق""]","[0.0, 0.0, 0.0]","[""عبدالواحد خنجی"", ""عبدالمجید ریگی"", ""سید محمدعلی انگجی""]",1552,عبدالواحد خنجی
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,فوتبال,1.5,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[1.5, 0.583333, 0.0]","[""بیژن طاهری"", ""بیژن حیدری"", ""امین طاهری""]",895,بیژن طاهری
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,وزنه‌برداری,0.75,1,1,"[""وزنه‌برداری"", ""کشتی"", ""والیبال""]","[0.75, 0.333333, 0.0]","[""امیر مرادی"", ""علی مرادی "", ""مراد محمدی""]",716,امیر مرادی
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,کشتی,0.2,0,0,"[""کشتی"", ""قایقرانی"", ""کاراته""]","[0.2, 0.0, 0.0]","[""رضا علی‌پور"", ""علی علیپور"", ""حمیدرضا قلی‌پور""]",1213,رضا علی‌پور
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,نقره,2.283333333333333,1,1,"[""نقره"", ""برنز"", ""طلا""]","[2.283333, 2.283333, 1.283333]","[""وحید گل‌خندان"", ""جواد فروغی"", ""سجاد مردانی""]",2610,وحید گل‌خندان
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,رزمی,1.0,1,1,"[""رزمی"", ""فوتبال"", ""کشتی""]","[1.0, 0.5, 0.0]","[""وحید سرلک"", ""میلاد سرلک"", ""وحید دستگردی""]",2600,وحید سرلک
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,فولاد و نفت مسجدسلیمان,0.0,1,1,"[""فولاد و نفت مسجدسلیمان"", ""استقلال و پرسپولیس"", ""سپاهان و تراکتور""]","[0.0, 0.0, 0.0]","[""یوسف وکیا"", ""محرم نویدکیا"", ""اکبر میثاقیان""]",2787,یوسف وکیا
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,ارمنستان,1.3333333333333333,1,1,"[""ارمنستان"", ""ایران"", ""ترکیه""]","[1.333333, 0.5, 0.0]","[""هاروتیون آبراهامیان"", ""یِرواند آبراهامیان"", ""وارازدات هارویان""]",2559,هاروتیون آبراهامیان
جمشید نصیری در کدام شهر ایران متولد شده است؟,خرمشهر,خرمشهر,1.0,1,1,"[""خرمشهر"", ""اصفهان"", ""تهران""]","[1.0, 0.2, 0.0]","[""جمشید نصیری"", ""جمشید انصاری"", ""ابراهیم نصیری""]",940,جمشید نصیری
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,فوتبال,فوتبال,2.283333333333333,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[2.283333, 0.0, 0.0]","[""رضا افتخاری"", ""سید علی افتخاری"", ""رضا قاسمی ""]",1193,رضا افتخاری
پوریا امینی در چه استانی متولد شده است؟,گیلانغرب,گیلانغرب,1.0,1,1,"[""گیلانغرب"", ""تهران"", ""مشهد""]","[1.0, 0.5, 0.0]","[""پوریا امینی"", ""فاطمه امینی "", ""شیوا امینی""]",2662,پوریا امینی
حسن حبیبی در کدام شهر متولد شده است؟,کرمان,کرمان,1.0,1,1,"[""کرمان"", ""شیراز"", ""تبریز""]","[1.0, 0.0, 0.0]","[""حسن حبیبی "", ""حسن ابراهیم حبیبی"", ""حسن بیادی""]",989,حسن حبیبی 
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,دریافت‌کننده قدرتی,1.0,1,1,"[""دریافت‌کننده قدرتی"", ""پاسور"", ""لیبرو""]","[1.0, 0.0, 0.0]","[""زینب گیوه"", ""زینب ملکی"", ""پری فردی""]",1278,زینب گیوه
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,پدیده و فجر سپاسی,0.0,1,1,"[""پدیده و فجر سپاسی"", ""سپاهان و تراکتور"", ""استقلال و پرسپولیس""]","[0.0, 0.0, 0.0]","[""حسین مهربان"", ""حسین کریمی"", ""حسین صادقی ""]",1052,حسین مهربان
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,نقره,نقره,2.283333333333333,1,1,"[""نقره"", ""طلا"", ""برنز""]","[2.283333, 1.583333, 1.45]","[""علی پاکدامن"", ""فاطمه جهانی"", ""مهدی عابدینی""]",1658,علی پاکدامن
الهام حسینی در چه رشته‌ای فعالیت دارد؟,وزنه‌برداری,وزنه‌برداری,1.0,1,1,"[""وزنه‌برداری"", ""کاراته"", ""فوتبال""]","[1.0, 0.0, 0.0]","[""الهام حسینی"", ""الهام امین‌زاده"", ""الهامی کرمانشاهی""]",667,الهام حسینی
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,قائمشهر,1.0,1,1,"[""قائمشهر"", ""اصفهان"", ""تهران""]","[1.0, 0.25, 0.0]","[""رضا مؤمنی"", ""رضا رحمانی"", ""رضا رمضانی گیلانی""]",1220,رضا مؤمنی
رضا نوروزی در چه شهری متولد شده است؟,ایذه,ایذه,1.0,1,1,"[""ایذه"", ""اصفهان"", ""اهواز""]","[1.0, 0.25, 0.0]","[""رضا نوروزی"", ""حسن نوروزی"", ""جواد نوروزی""]",1226,رضا نوروزی
مجید ترکان ورزشکار کدام رشته است؟,کشتی,کشتی,1.8333333333333333,1,1,"[""کشتی"", ""فوتبال"", ""والیبال""]","[1.833333, 0.45, 0.0]","[""مجید ترکان"", ""اکبر ترکان"", ""اکبر ترکان""]",1946,مجید ترکان
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,دینامو زاگرب,0.0,0,0,"[""دینامو زاگرب"", ""بایرن مونیخ"", ""کوپنهاگن""]","[0.0, 0.0, 0.0]","[""ایوان مارکوویچ"", ""باشگاه فوتبال زنان ذوب‌آهن"", ""نادر زینلی""]",804,ایوان مارکوویچ
گلنوش خسروی در کدام شهر به متولد شده است؟,اصفهان,اصفهان,1.5,1,1,"[""اصفهان"", ""تهران"", ""ارومیه""]","[1.5, 0.25, 0.0]","[""گلنوش خسروی"", ""گلنوش سبقت‌الهی"", ""خسرو گلسرخی""]",2767,گلنوش خسروی
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""فوتبال"", ""تکواندو""]","[1.0, 0.333333, 0.0]","[""فرنوش شیخی"", ""الهام شیخی "", ""فرشاد هاشمی""]",1814,فرنوش شیخی
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,فوتسال,1.0,1,1,"[""فوتسال"", ""فوتبال"", ""کشتی""]","[1.0, 0.75, 0.0]","[""سارا شیربیگی"", ""سارا ظهرابی"", ""سارا عبدالملکی""]",1284,سارا شیربیگی
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,پارالمپیک پاریس ۲۰۲۴,پارالمپیک پاریس ۲۰۲۴,1.0,1,1,"[""پارالمپیک پاریس ۲۰۲۴"", ""المپیک ریو ۲۰۱۶"", ""بازی‌های آسیایی ۲۰۱۸""]","[1.0, 0.0, 0.0]","[""هاجر صفرزاده"", ""امین میرزازاده"", ""سعید صفری""]",2543,هاجر صفرزاده
مهدی تیکدری سالاری در کدام رشته فعال است؟,فوتبال,فوتبال,1.0,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[1.0, 0.0, 0.0]","[""مهدی تیکدری"", ""محمد سالاری"", ""مهدی گلشنی""]",2320,مهدی تیکدری
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,پرسپولیس و الریان,0.0,1,1,"[""پرسپولیس و الریان"", ""سپاهان و استقلال"", ""ذوب‌آهن و ملوان""]","[0.0, 0.0, 0.0]","[""شجاع خلیل‌زاده"", ""مسعود شجاعی"", ""محمدرضا خلعتبری""]",1466,شجاع خلیل‌زاده
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,رزمی,رزمی,1.0,1,1,"[""رزمی"", ""فوتبال"", ""والیبال""]","[1.0, 0.25, 0.2]","[""مهدی خدابخشی"", ""محمد امین طباطبایی"", ""مهدی یراحی""]",2326,مهدی خدابخشی
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,بایرن مونیخ و هرتابرلین,0.0,1,1,"[""بایرن مونیخ و هرتابرلین"", ""رئال مادرید و بارسلونا"", ""آژاکس و پی‌اس‌وی""]","[0.0, 0.0, 0.0]","[""علی دایی"", ""علی دانایی‌فرد"", ""علی دشتی ""]",1605,علی دایی
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کشتی,کشتی,1.2,1,1,"[""کشتی"", ""فوتبال"", ""کاراته""]","[1.2, 0.75, 0.333333]","[""عباس زندی"", ""فریدون زندی"", ""علی زند ""]",1536,عباس زندی
