question,gold_answer,pred_answer,pred_score,is_correct,hit_at_3,top3_options,top3_scores,top3_names,top1_catalog_idx,top1_name
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۷۱,۱۳۷۱,1.0,1,1,"[""۱۳۷۱"", ""۱۳۶۱"", ""۱۳۵۱""]","[1.0, 0.0, 0.0]","[""عزت‌الله اکبری"", ""سعید عزت‌اللهی"", ""عزت‌الله مطهری""]",1562,عزت‌الله اکبری
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,۱٫۹۴,0.0,1,1,"[""۱٫۹۴"", ""۱٫۸۸"", ""۲٫۰۰""]","[0.0, 0.0, 0.0]","[""میربابک موسوی"", ""محمد موسوی"", ""مجتبی میرزاجانپور""]",2437,میربابک موسوی
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,ایران,1.5833333333333333,1,1,"[""ایران"", ""ترکیه"", ""آلمان""]","[1.583333, 0.0, 0.0]","[""کریم انصاری‌فرد"", ""مجید انصاری"", ""محمدحسن انصاری‌فرد""]",2727,کریم انصاری‌فرد
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,مریلا زارعی,مریلا زارعی,0.0,1,1,"[""مریلا زارعی"", ""هومن سیدی"", ""پرستو صالحی""]","[0.0, 0.0, 0.0]","[""زهرا داوودنژاد"", ""میترا حجار"", ""ژاله علو""]",165,زهرا داوودنژاد
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,رضا عطاران,رضا عطاران,1.0,1,1,"[""رضا عطاران"", ""عباس غزالی"", ""فریبرز عربنیا""]","[1.0, 0.0, 0.0]","[""رضا عطاران"", ""کیکاووس یاکیده"", ""آهو خردمند""]",23,رضا عطاران
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,بهرام رادان,بهرام رادان,1.0,1,1,"[""بهرام رادان"", ""رضا بابک"", ""مصطفی زمانی""]","[1.0, 0.0, 0.0]","[""بهرام رادان"", ""سیامک انصاری"", ""آرش مجیدی""]",259,بهرام رادان
محسن تنابنده در چه سالی متولد شده است؟,1354,1354,1.0,1,1,"[""1354"", ""1357"", ""1347""]","[1.0, 0.0, 0.0]","[""محسن تنابنده"", ""محسن یگانه"", ""محسن مسلمان""]",41,محسن تنابنده
کدام یک از آثار احمدشاملو است؟,ترانه شرقی,گلستان,0.25,0,1,"[""گلستان"", ""ترانه شرقی"", ""دیوار کافه""]","[0.25, 0.0, 0.0]","[""احمد آقالو"", ""محمدعلی سپانلو"", ""احمد کریمی حکاک""]",202,احمد آقالو
روزبه بمانی در چه حیطه ای فعالیت میکند؟,خوانندگی,ورزش,0.25,0,1,"[""ورزش"", ""خوانندگی"", ""بازیگری""]","[0.25, 0.0, 0.0]","[""روزبه بمانی"", ""روزبه بمانی"", ""خسرو روزبه""]",265,روزبه بمانی
سهراب سپهری در کجا متولد شده است؟,قم,تهران,1.5,0,1,"[""تهران"", ""قم"", ""اضفهان""]","[1.5, 1.0, 0.0]","[""سهراب سپهری"", ""سهراب سپهری"", ""محمد سهرابی""]",2872,سهراب سپهری
کدام شاعر معروف به نیمای غزل است؟,سیمین بهبهانی,نیما یوشیج,1.0,0,1,"[""نیما یوشیج"", ""سیمین بهبهانی"", ""سعدی""]","[1.0, 0.5, 0.0]","[""نیما یوشیج"", ""سیمین بهبهانی"", ""سنایی""]",2979,نیما یوشیج
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,مسجد جامع سامان,مسجد جامع سامان,0.2,1,1,"[""مسجد جامع سامان"", ""نجف"", ""عمان""]","[0.2, 0.2, 0.2]","[""فرخی یزدی"", ""محمد فرخی یزدی"", ""جیحون یزدی""]",2914,فرخی یزدی
کدام یک از آثار فروغ فرخزاد است؟,تولدی دیگر,تولدی دیگر,1.0,1,1,"[""تولدی دیگر"", ""میخک نقره ای"", ""رند و زاهد""]","[1.0, 0.0, 0.0]","[""فروغ فرخزاد"", ""فریدون فرّخزاد"", ""فریدون فرخزاد""]",2915,فروغ فرخزاد
اولین زن ایرانی در فضا چه کسی است؟,انوشه انصاری,انوشه انصاری,1.0,1,1,"[""انوشه انصاری"", ""زهرا رهنورد"", ""جمیله کدیور""]","[1.0, 0.0, 0.0]","[""انوشه انصاری"", ""اسفند فَرُّخ‌روی پارسا"", ""مریم میرزاخانی""]",3023,انوشه انصاری
مفتاح الفتاح از چه کسی منتشر شده است؟,شیخ بهایی,شیخ بهایی,0.0,1,1,"[""شیخ بهایی"", ""خوارزمی"", ""ابن سینا""]","[0.0, 0.0, 0.0]","[""سید ابراهیم نبوی"", ""احسان فتاحیان"", ""وحید قزوینی""]",396,سید ابراهیم نبوی
پدر فیزیک ایران چه کسی است؟,محمود حسابی,محمود حسابی,1.0,1,1,"[""محمود حسابی"", ""مراد فرهادپور"", ""مجید شهریاری""]","[1.0, 0.0, 0.0]","[""محمود حسابی"", ""اکبر اعتماد"", ""محسن فخری‌زاده مهابادی""]",3086,محمود حسابی
اولین زن برنده ی مدال فیلدر چه کسی است؟,مریم میرزاخانی,مریم میرزاخانی,1.0,1,1,"[""مریم میرزاخانی"", ""انوشه انصاری"", ""نادیا مفتونی""]","[1.0, 0.0, 0.0]","[""مریم میرزاخانی"", ""وحید گل‌خندان"", ""ساره جوانمردی""]",3090,مریم میرزاخانی
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,1360,1360,1.0,1,1,"[""1360"", ""1380"", ""1370""]","[1.0, 0.25, 0.2]","[""جمشید هاشم‌پور"", ""جمشید جمشیدیان"", ""جمشید آموزگار""]",151,جمشید هاشم‌پور
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,سحر دولتشاهی,سحر دولتشاهی,0.5,1,1,"[""سحر دولتشاهی"", ""نسرین مقانلو"", ""فرزانه کابلی""]","[0.5, 0.0, 0.0]","[""شبنم مقدمی"", ""سحر دولتشاهی"", ""هنگامه قاضیانی""]",214,شبنم مقدمی
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,مهناز افشار,مهناز افشار,1.0,1,1,"[""مهناز افشار"", ""باران کوثری"", ""فرزانه کابلی""]","[1.0, 0.0, 0.0]","[""مهناز افشار"", ""شبنم مقدمی"", ""پریناز ایزدیار""]",154,مهناز افشار
دایره المعارف شیطان اثر کیست؟,ابراهیم نبوی,ابراهیم نبوی,0.0,1,1,"[""ابراهیم نبوی"", ""نیما یوشیج"", ""پروین اعتصامی""]","[0.0, 0.0, 0.0]","[""زرتشت"", ""سید حسین نصر"", ""داریوش شایگان""]",3040,زرتشت
ایرج میرزرا به چه نامی معروف بود؟,جلال الممالک,نیمای غزل,0.0,0,1,"[""نیمای غزل"", ""جلال الممالک"", ""سرمست""]","[0.0, 0.0, 0.0]","[""ایرج میرزا"", ""ایرج فاضل"", ""ایرج اسکندری""]",2829,ایرج میرزا
کدام شاعر به پدر شعر انقلاب معروف است؟,حمید سبزواری,حمید سبزواری,1.0,1,1,"[""حمید سبزواری"", ""پروین اعتصامی"", ""خاقانی شروانی""]","[1.0, 0.0, 0.0]","[""حمید سبزواری"", ""نیما یوشیج"", ""عبدالعلی ادیب برومند""]",2844,حمید سبزواری
پدر ادبیات تاجیک کیست؟,رودکی,سعدی,0.5,0,1,"[""سعدی"", ""فردوسی"", ""رودکی""]","[0.5, 0.333333, 0.0]","[""امان‌الله تاجیک"", ""سعدی"", ""احمد کریمی حکاک""]",338,امان‌الله تاجیک
کارگردان مغزهای کوچک زنگ زده کیست؟,هومن سیدی,هومن سیدی,1.0,1,1,"[""هومن سیدی"", ""سیامک انصاری"", ""رضا عطاران""]","[1.0, 0.0, 0.0]","[""هومن سیدی"", ""شهرام شاه‌حسینی"", ""کیکاووس یاکیده""]",7,هومن سیدی
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,داریوش ارجمند,داریوش ارجمند,1.0,1,1,"[""داریوش ارجمند"", ""رضا عطاران"", ""مهران مدیری""]","[1.0, 0.5, 0.0]","[""داریوش ارجمند"", ""رضا عطاران"", ""نوید محمدزاده""]",94,داریوش ارجمند
مهران مدیری متولد چه سالی است؟,1346,1346,1.0,1,1,"[""1346"", ""1354"", ""1344""]","[1.0, 0.0, 0.0]","[""مهران مدیری"", ""مهران قاسمی"", ""مهران امیری""]",79,مهران مدیری
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,درباه الی و زخم کاری,درباه الی و زخم کاری,0.0,1,1,"[""درباه الی و زخم کاری"", ""راز بهشت و آخرین خیال"", ""تنهایی لیلا و عصر پاییزی""]","[0.0, 0.0, 0.0]","[""رعنا آزادی‌ور"", ""زهرا داوودنژاد"", ""افسانه چهره‌آزاد""]",160,رعنا آزادی‌ور
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,شهره آغداشلو,شهره آغداشلو,1.0,1,1,"[""شهره آغداشلو"", ""مهناز افشار"", ""الهام حمیدی""]","[1.0, 0.0, 0.0]","[""شهره آغداشلو"", ""لاله اسکندری"", ""پانته‌آ پناهی‌ها""]",88,شهره آغداشلو
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,شهره آغداشلو,لیلا حاتمی,1.0,0,1,"[""لیلا حاتمی"", ""شهره آغداشلو"", ""مهناز افشار""]","[1.0, 0.0, 0.0]","[""لیلا حاتمی"", ""هنگامه قاضیانی"", ""شبنم مقدمی""]",225,لیلا حاتمی
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,فاطمه معتمدآریا,فاطمه معتمدآریا,1.0,1,1,"[""فاطمه معتمدآریا"", ""شهره آغداشلو"", ""الهام حمیدی""]","[1.0, 0.0, 0.0]","[""فاطمه معتمدآریا"", ""نگار جواهریان"", ""طناز طباطبایی""]",226,فاطمه معتمدآریا
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,بیست و ملاقات با جادوگر,بیست و ملاقات با جادوگر,0.0,1,1,"[""بیست و ملاقات با جادوگر"", ""راز بهشت و آخرین خیال"", ""تنهایی لیلا و عصر پاییزی""]","[0.0, 0.0, 0.0]","[""علیرضا خمسه"", ""امیرحسین رستمی"", ""اکبر قدمی""]",227,علیرضا خمسه
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,1380,1380,1.0,1,1,"[""1380"", ""1390"", ""1370""]","[1.0, 0.0, 0.0]","[""مهرداد صدیقیان"", ""مهرداد آسمانی"", ""مهرداد بذرپاش""]",146,مهرداد صدیقیان
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,زیرخاکی,تگزاس,1.2,0,1,"[""تگزاس"", ""پوست شیر"", ""زیرخاکی""]","[1.2, 1.0, 1.0]","[""ژاله صامتی"", ""سعید پورصمیمی"", ""لاله اسکندری""]",82,ژاله صامتی
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,ترانه علیدوستی,ترانه علیدوستی,1.0,1,1,"[""ترانه علیدوستی"", ""فاطمه معتمدآریا"", ""الهام حمیدی""]","[1.0, 0.0, 0.0]","[""ترانه علیدوستی"", ""طناز طباطبایی"", ""مهناز افشار""]",129,ترانه علیدوستی
امیرحسین حسین آرمان متولد کجا است؟,تهران,تهران,2.083333333333333,1,1,"[""تهران"", ""مازندران"", ""اصفهان""]","[2.083333, 0.2, 0.0]","[""امیرحسین آرمان"", ""امیرحسین حسین‌زاده"", ""آرمان قاسمی""]",141,امیرحسین آرمان
انوشیروان ارجمند در چه سالی درگذشت؟,1393,1393,1.0,1,1,"[""1393"", ""1389"", ""1390""]","[1.0, 0.333333, 0.0]","[""انوشیروان ارجمند"", ""انوشیروان روحانی"", ""داریوش ارجمند""]",162,انوشیروان ارجمند
آرامگاه صائب تبریزی در کجا قرار دارد؟,اصفهان,قم,1.25,0,1,"[""قم"", ""اصفهان"", ""تهران""]","[1.25, 1.0, 0.5]","[""صائب تبریزی"", ""صابر همدانی"", ""همام تبریزی""]",2888,صائب تبریزی
شعر شب عشق از کدام ترانه سرا است؟,لیلا کسری,لیلا کسری,0.0,1,1,"[""لیلا کسری"", ""فروغ فرخزاد"", ""پرورین اعتصامی""]","[0.0, 0.0, 0.0]","[""نیلوفر لاری‌پور"", ""حبیب محبیان"", ""میرزاده عشقی""]",397,نیلوفر لاری‌پور
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,1.0,1,1,"[""مدیرعامل کانون پرورش فکری کودکان و نوجوانان"", ""ریاست جمهوری"", ""ریاست فدراسیون فوتبال""]","[1.0, 0.0, 0.0]","[""لیلی جهان‌آرا"", ""لیلا برخورداری"", ""لیلا زارع""]",3132,لیلی جهان‌آرا
سید ابراهیم رئیسی در چه سالی درگذشت؟,1403,1403,1.3333333333333333,1,1,"[""1403"", ""1400"", ""1398""]","[1.333333, 1.333333, 0.0]","[""سید ابراهیم رئیس‌الساداتی"", ""سید حشمت‌الله رئیسی"", ""سید ابراهیم نبوی""]",3405,سید ابراهیم رئیس‌الساداتی
حسن روحانی در کجا متولد شده است؟,سمنان,سمنان,1.0,1,1,"[""سمنان"", ""تهران"", ""یزد""]","[1.0, 0.333333, 0.0]","[""حسن روحانی"", ""حسن روحانی "", ""فؤاد روحانی""]",3406,حسن روحانی
گوهر خیراندیش در چه سریالی ضور داشته است؟,میوه ممنوعه,میوه ممنوعه,1.0,1,1,"[""میوه ممنوعه"", ""دودکش"", ""لونه زنبور""]","[1.0, 0.0, 0.0]","[""گوهر خیراندیش"", ""غلامرضا نیکخواه"", ""سیاوش مفیدی""]",368,گوهر خیراندیش
پژمان جمشیدی از چه سالی به عنوان بازیگر فعالیت میکند؟,1392,1392,1.75,1,1,"[""1392"", ""1380"", ""1382""]","[1.75, 1.2, 0.333333]","[""پژمان جمشیدی"", ""پژمان جمشیدی"", ""پارسا پیروزفر""]",126,پژمان جمشیدی
کدام آلبوم برای امید حاجیلی است؟,آلگرو,آلگرو,1.0,1,1,"[""آلگرو"", ""غوغا"", ""کازابلانکا""]","[1.0, 0.0, 0.0]","[""امید حاجیلی"", ""امید سلطانی"", ""شادمهر عقیلی""]",247,امید حاجیلی
